"SenderAddress","ThreatCount","FirstSeen","LastSeen","ThreatTypes","TargetedUsers","RiskScore"
"notice@transfer.hennge.com","2","2025/06/12 3:01:57","2025/06/12 3:05:20","スパム","1","20"
"lts.biz@gvatech.co.jp","2","2025/06/12 2:32:37","2025/06/12 6:06:12","スパム","1","20"
"news_member@carsensor.net","2","2025/06/12 9:02:22","2025/06/12 9:03:59","スパム","2","20"
"<>","2","2025/06/12 6:31:59","2025/06/12 6:31:59","スパム","2","20"
"business@nikkeibp.co.jp","2","2025/06/12 3:08:13","2025/06/12 8:07:17","スパム","1","20"
"biz_info@bizreach.co.jp","2","2025/06/12 2:43:51","2025/06/12 2:43:55","スパム","2","20"
"info@shaddy.jp","2","2025/06/12 3:06:14","2025/06/12 9:20:00","スパム","1","20"
"info@kurashi.tepco.co.jp","2","2025/06/12 1:01:23","2025/06/12 1:01:30","隔離","2","20"
"information@3n25g.com","1","2025/06/12 8:36:02","2025/06/12 8:36:02","隔離","1","10"
"sales-rep@u-can.co.jp","1","2025/06/12 5:12:56","2025/06/12 5:12:56","スパム","1","10"
"rurubutravel_news@magazine.jtb.co.jp","1","2025/06/12 10:15:47","2025/06/12 10:15:47","スパム","1","10"
"rucira33@gmail.com","1","2025/06/12 7:16:32","2025/06/12 7:16:32","スパム","1","10"
"restart-home@cloud.nomad-a.jp","1","2025/06/12 9:14:00","2025/06/12 9:14:00","スパム","1","10"
"Resonabank.na5me@qavi.net","1","2025/06/12 2:00:20","2025/06/12 2:00:20","隔離","1","10"
"r-okamura@profuku.co.jp","1","2025/06/12 2:40:48","2025/06/12 2:40:48","スパム","1","10"
"sales-st@e-reverse.com","1","2025/06/12 2:06:10","2025/06/12 2:06:10","スパム","1","10"
"biz.feedback@moneyforward.com","1","2025/06/12 2:04:32","2025/06/12 2:04:32","スパム","1","10"
"pmkgjn@mansuikaku.com","1","2025/06/12 9:55:44","2025/06/12 9:55:44","隔離","1","10"
"cklky@mansuikaku.com","1","2025/06/12 8:28:06","2025/06/12 8:28:06","隔離","1","10"
"autos-master@mail.yahoo.co.jp","1","2025/06/12 2:19:50","2025/06/12 2:19:50","スパム","1","10"
"SCUBIC.allowgw@shsg.com","1","2025/06/12 0:16:12","2025/06/12 0:16:12","スパム","1","10"
"SCUBIC.arun206@hfke.com","1","2025/06/12 3:01:51","2025/06/12 3:01:51","隔離","1","10"
"auction-master@mail.yahoo.co.jp","1","2025/06/12 6:18:11","2025/06/12 6:18:11","スパム","1","10"
"aqrweft@mansuikaku.com","1","2025/06/12 9:51:45","2025/06/12 9:51:45","隔離","1","10"
"shopinfo@mail.shopch.jp","1","2025/06/12 3:30:32","2025/06/12 3:30:32","スパム","1","10"
"shopping-snl-master@mail.yahoo.co.jp","1","2025/06/12 11:05:40","2025/06/12 11:05:40","スパム","1","10"
"sns@de-create.com","1","2025/06/12 3:30:30","2025/06/12 3:30:30","スパム","1","10"
"speeda_marketing@uzabase.com","1","2025/06/12 6:03:08","2025/06/12 6:03:08","スパム","1","10"
"akemi_tanaka@kokuyo.com","1","2025/06/12 2:01:20","2025/06/12 2:01:20","スパム","1","10"
"suovk@mansuikaku.com","1","2025/06/12 9:36:49","2025/06/12 9:36:49","隔離","1","10"
"teamzoom@e.zoom.us","1","2025/06/12 8:07:37","2025/06/12 8:07:37","スパム","1","10"
"admin@ujmlges.com","1","2025/06/12 0:44:35","2025/06/12 0:44:35","スパム","1","10"
"2190vv3l@70gz.com","1","2025/06/12 1:47:12","2025/06/12 1:47:12","隔離","1","10"
"veqft3@xroco.com","1","2025/06/12 11:10:39","2025/06/12 11:10:39","隔離","1","10"
"xtech-e@nikkeibp.co.jp","1","2025/06/12 2:59:19","2025/06/12 2:59:19","スパム","1","10"
"nqpudnh@mansuikaku.com","1","2025/06/12 8:07:05","2025/06/12 8:07:05","隔離","1","10"
"notification@8card.net","1","2025/06/12 1:39:43","2025/06/12 1:39:43","スパム","1","10"
"noreply@miidas.jp","1","2025/06/12 7:07:33","2025/06/12 7:07:33","スパム","1","10"
"info@yaruki-switch-grp.jp","1","2025/06/12 3:44:01","2025/06/12 3:44:01","スパム","1","10"
"information@3w4ru.com","1","2025/06/12 2:57:19","2025/06/12 2:57:19","隔離","1","10"
"information@bryp7.com","1","2025/06/12 6:06:55","2025/06/12 6:06:55","隔離","1","10"
"information@vrb98.com","1","2025/06/12 1:47:56","2025/06/12 1:47:56","隔離","1","10"
"information@vwr34.com","1","2025/06/12 10:01:48","2025/06/12 10:01:48","隔離","1","10"
"iso-kensyu@juse.or.jp","1","2025/06/12 1:00:05","2025/06/12 1:00:05","スパム","1","10"
"kbook@kentsu.co.jp","1","2025/06/12 5:39:08","2025/06/12 5:39:08","スパム","1","10"
"info@ivry.shop","1","2025/06/12 2:31:45","2025/06/12 2:31:45","スパム","1","10"
"info@green-cross.co.jp","1","2025/06/12 4:33:56","2025/06/12 4:33:56","スパム","1","10"
"info@easyfactor.net","1","2025/06/12 1:16:31","2025/06/12 1:16:31","スパム","1","10"
"mail-info@diamond.co.jp","1","2025/06/12 3:47:35","2025/06/12 3:47:35","スパム","1","10"
"mail4smb@mktg.nec.com","1","2025/06/12 2:02:39","2025/06/12 2:02:39","スパム","1","10"
"info@big-vision.co.jp","1","2025/06/12 7:31:33","2025/06/12 7:31:33","スパム","1","10"
"info@ameba.jp","1","2025/06/12 6:07:40","2025/06/12 6:07:40","スパム","1","10"
"info-m@sp-venus.com","1","2025/06/12 9:04:58","2025/06/12 9:04:58","スパム","1","10"
"yj-info-master@mail.yahoo.co.jp","1","2025/06/12 4:20:22","2025/06/12 4:20:22","スパム","1","10"
"ihslup@mail.com","1","2025/06/12 7:29:37","2025/06/12 7:29:37","スパム","1","10"
"mailnews@mail.ntt.com","1","2025/06/12 2:10:11","2025/06/12 2:10:11","スパム","1","10"
"haku877haku@gmail.com","1","2025/06/12 11:09:46","2025/06/12 11:09:46","スパム","1","10"
"donation-news@mail.yahoo.co.jp","1","2025/06/12 7:14:54","2025/06/12 7:14:54","スパム","1","10"
"members_info@or.knt.co.jp","1","2025/06/12 4:33:40","2025/06/12 4:33:40","スパム","1","10"
"message@members-ms.jp","1","2025/06/12 9:11:25","2025/06/12 9:11:25","スパム","1","10"
"n.shimoriku@millcareer.com","1","2025/06/12 2:12:13","2025/06/12 2:12:13","スパム","1","10"
"dms-expo@visitor.rxjapan.jp","1","2025/06/12 2:21:00","2025/06/12 2:21:00","スパム","1","10"
"news@idrugstore.jp","1","2025/06/12 2:32:32","2025/06/12 2:32:32","スパム","1","10"
"customer-info@mail.tdb.co.jp","1","2025/06/12 3:01:22","2025/06/12 3:01:22","スパム","1","10"
"nexco-Eyqlwf@rzbkz.com","1","2025/06/12 3:46:34","2025/06/12 3:46:34","隔離","1","10"
"no_reply@jaroc.co.jp","1","2025/06/12 7:53:22","2025/06/12 7:53:22","隔離","1","10"
"contact@circus.ac","1","2025/06/12 8:08:34","2025/06/12 8:08:34","スパム","1","10"
"contact_jp@line-works.com","1","2025/06/12 5:37:12","2025/06/12 5:37:12","スパム","1","10"
"co_support@daiichihoki.com","1","2025/06/12 6:36:34","2025/06/12 6:36:34","スパム","1","10"
"ym1ma0@3606.com","1","2025/06/12 8:57:13","2025/06/12 8:57:13","隔離","1","10"
