"SenderAddress","ThreatCount","FirstSeen","LastSeen","ThreatTypes","TargetedUsers","RiskScore"
"iso-kensyu@juse.or.jp","1","06/12/2025 01:00:05","06/12/2025 01:00:05","スパム","1","10"
"jk2@v1d0.com","1","06/12/2025 11:23:57","06/12/2025 11:23:57","隔離","1","10"
"info@ivry.shop","1","06/12/2025 02:31:45","06/12/2025 02:31:45","スパム","1","10"
"kbook@kentsu.co.jp","1","06/12/2025 05:39:08","06/12/2025 05:39:08","スパム","1","10"
"info@green-cross.co.jp","1","06/12/2025 04:33:56","06/12/2025 04:33:56","スパム","1","10"
"info@easyfactor.net","1","06/12/2025 01:16:31","06/12/2025 01:16:31","スパム","1","10"
"info@big-vision.co.jp","1","06/12/2025 07:31:33","06/12/2025 07:31:33","スパム","1","10"
"mail-info@diamond.co.jp","1","06/12/2025 03:47:35","06/12/2025 03:47:35","スパム","1","10"
"mail4smb@mktg.nec.com","1","06/12/2025 02:02:39","06/12/2025 02:02:39","スパム","1","10"
"info@ameba.jp","1","06/12/2025 06:07:40","06/12/2025 06:07:40","スパム","1","10"
"yj-info-master@mail.yahoo.co.jp","1","06/12/2025 04:20:22","06/12/2025 04:20:22","スパム","1","10"
"info-m@sp-venus.com","1","06/12/2025 09:04:58","06/12/2025 09:04:58","スパム","1","10"
"ihslup@mail.com","1","06/12/2025 07:29:37","06/12/2025 07:29:37","スパム","1","10"
"haku877haku@gmail.com","1","06/12/2025 11:09:46","06/12/2025 11:09:46","スパム","1","10"
"mailnews@mail.ntt.com","1","06/12/2025 02:10:11","06/12/2025 02:10:11","スパム","1","10"
"donation-news@mail.yahoo.co.jp","1","06/12/2025 07:14:54","06/12/2025 07:14:54","スパム","1","10"
"dms-expo@visitor.rxjapan.jp","1","06/12/2025 02:21:00","06/12/2025 02:21:00","スパム","1","10"
"members_info@or.knt.co.jp","1","06/12/2025 04:33:40","06/12/2025 04:33:40","スパム","1","10"
"message@members-ms.jp","1","06/12/2025 09:11:25","06/12/2025 09:11:25","スパム","1","10"
"n.shimoriku@millcareer.com","1","06/12/2025 02:12:13","06/12/2025 02:12:13","スパム","1","10"
"customer-info@mail.tdb.co.jp","1","06/12/2025 03:01:22","06/12/2025 03:01:22","スパム","1","10"
"news@idrugstore.jp","1","06/12/2025 02:32:32","06/12/2025 02:32:32","スパム","1","10"
"contact@circus.ac","1","06/12/2025 08:08:34","06/12/2025 08:08:34","スパム","1","10"
"nexco-Eyqlwf@rzbkz.com","1","06/12/2025 03:46:34","06/12/2025 03:46:34","隔離","1","10"
"contact_jp@line-works.com","1","06/12/2025 05:37:12","06/12/2025 05:37:12","スパム","1","10"
"ym1ma0@3606.com","1","06/12/2025 08:57:13","06/12/2025 08:57:13","隔離","1","10"
