"Stage","Timestamp","TotalMemory","Gen0Collections","Gen1Collections","Gen2Collections","ProcessWorkingSet","ProcessPrivateMemory"
"Monitoring","2025/07/18 0:29:38","48648576","1210","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","49336704","1210","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","50024832","1210","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","50712960","1210","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:38","47326304","1211","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:39","48014432","1211","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:39","48702560","1211","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:39","49390688","1211","136","32","131317760","111874048"
"Monitoring","2025/07/18 0:29:39","50078816","1211","136","32","131883008","111874048"
"Monitoring","2025/07/18 0:29:39","50766944","1211","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","47354384","1212","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","48042512","1212","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","48730640","1212","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","49418768","1212","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","50106896","1212","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","50795024","1212","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","47380112","1213","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","48068240","1213","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","48756368","1213","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","49444496","1213","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","50132624","1213","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","50820752","1213","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","47382784","1214","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","48079104","1214","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:39","48767232","1214","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:40","49447168","1214","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:40","50135296","1214","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:40","50823424","1214","136","32","131948544","111874048"
"Monitoring","2025/07/18 0:29:40","51518032","1214","136","32","132313088","112332800"
"Monitoring","2025/07/18 0:29:40","47345416","1215","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","48033544","1215","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","48721672","1215","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","49409800","1215","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","50097928","1215","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","50786056","1215","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","47360144","1216","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","48064656","1216","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","48752784","1216","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","49440912","1216","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","50129040","1216","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","50817168","1216","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","47409096","1217","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","48113608","1217","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:40","48801736","1217","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","49489864","1217","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","50177992","1217","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","50866120","1217","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","47498656","1218","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","48203168","1218","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","48891296","1218","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","49579424","1218","136","32","132689920","112599040"
"Monitoring","2025/07/18 0:29:41","50267552","1218","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","50955680","1218","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","47487160","1219","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","48191672","1219","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","48879800","1219","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","49567928","1219","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","50256056","1219","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","50944184","1219","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","47501496","1220","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","48206008","1220","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","48902328","1220","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:41","49590456","1220","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:42","50278584","1220","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:42","50966712","1220","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:42","47543440","1221","136","32","132689920","111923200"
"Monitoring","2025/07/18 0:29:42","48247952","1221","136","32","132689920","112517120"
"Monitoring","2025/07/18 0:29:42","48944272","1221","136","32","132059136","112599040"
"Monitoring","2025/07/18 0:29:42","49632400","1221","136","32","132059136","112599040"
"Monitoring","2025/07/18 0:29:42","50320528","1221","136","32","132059136","112599040"
"Monitoring","2025/07/18 0:29:42","51008656","1221","136","32","132059136","112599040"
"Monitoring","2025/07/18 0:29:42","51704976","1221","136","32","132059136","112599040"
"Monitoring","2025/07/18 0:29:42","52394576","1221","136","32","132567040","113254400"
"Monitoring","2025/07/18 0:29:42","47756168","1222","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","48460680","1222","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","49148808","1222","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","49836936","1222","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","50533256","1222","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","51221384","1222","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","47763512","1223","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","48476216","1223","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:42","49164344","1223","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:43","49852472","1223","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:43","50540600","1223","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:43","51236920","1223","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:43","47818696","1224","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:43","48523208","1224","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:43","49219528","1224","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","49907656","1224","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","50595784","1224","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:43","51292104","1224","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:43","51980232","1224","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","48600832","1225","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","49288960","1225","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","49985280","1225","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","50673408","1225","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","51361536","1225","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","52057856","1225","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","48642944","1226","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","49331072","1226","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:43","50027392","1226","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:44","50715520","1226","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","51403648","1226","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:44","52099968","1226","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","48685080","1227","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","49373208","1227","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:44","50061336","1227","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","50757656","1227","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:44","51445784","1227","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","52133912","1227","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","48749920","1228","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:44","49446240","1228","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","50134368","1228","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","50822496","1228","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","51518816","1228","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:44","52206944","1228","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","48792544","1229","136","32","133156864","113713152"
"Monitoring","2025/07/18 0:29:44","49488864","1229","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","50176992","1229","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:44","50865120","1229","136","32","133787648","113037312"
"Monitoring","2025/07/18 0:29:44","51561440","1229","136","32","133787648","113713152"
"Monitoring","2025/07/18 0:29:45","52249568","1229","136","32","133783552","113668096"
"Monitoring","2025/07/18 0:29:45","48834656","1230","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","49530976","1230","136","32","133767168","112992256"
"Monitoring","2025/07/18 0:29:45","50219104","1230","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","50907232","1230","136","32","133136384","113668096"
"Monitoring","2025/07/18 0:29:45","51595360","1230","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","52291680","1230","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","48872840","1231","136","32","133767168","112992256"
"Monitoring","2025/07/18 0:29:45","49560968","1231","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","50257288","1231","136","32","133136384","113668096"
"Monitoring","2025/07/18 0:29:45","50945416","1231","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","51633544","1231","136","32","133767168","113668096"
"Monitoring","2025/07/18 0:29:45","52321672","1231","136","32","133767168","112992256"
"Monitoring","2025/07/18 0:29:45","53017992","1231","136","32","133799936","113799168"
"Monitoring","2025/07/18 0:29:45","53705296","1231","136","32","133857280","114520064"
"Monitoring","2025/07/18 0:29:45","48944216","1232","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:45","49632344","1232","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:45","50320472","1232","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:45","51016792","1232","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","51704920","1232","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:46","52393048","1232","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","48977248","1233","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","49673568","1233","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:46","50361696","1233","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","51049824","1233","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:46","51746144","1233","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","52434272","1233","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","49018496","1234","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:46","49714816","1234","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","50402944","1234","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:46","51091072","1234","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","51787392","1234","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","52475520","1234","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:46","49074376","1235","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","49770696","1235","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:46","50458824","1235","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","51155144","1235","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:46","51843272","1235","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:47","52531400","1235","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","49101096","1236","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:47","49805608","1236","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","50493736","1236","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","51181864","1236","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:47","51878184","1236","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","52566312","1236","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:47","49140840","1237","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","49845352","1237","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","50533480","1237","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:47","51221608","1237","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","51917928","1237","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:47","52606056","1237","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","49196648","1238","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","49901160","1238","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:47","50589288","1238","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","51285608","1238","136","32","134111232","114655232"
"Monitoring","2025/07/18 0:29:47","51973736","1238","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:47","52661864","1238","136","32","134742016","114655232"
"Monitoring","2025/07/18 0:29:48","53358184","1238","136","32","134742016","113979392"
"Monitoring","2025/07/18 0:29:48","54049360","1238","136","32","134832128","114851840"
"Monitoring","2025/07/18 0:29:48","54737488","1238","136","32","134889472","115507200"
"Monitoring","2025/07/18 0:29:48","49743440","1239","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","50431568","1239","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","51127888","1239","136","32","135589888","114831360"
"Monitoring","2025/07/18 0:29:48","51816016","1239","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","52504144","1239","136","32","134959104","115507200"
"Monitoring","2025/07/18 0:29:48","53200464","1239","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","49784536","1240","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","50480856","1240","136","32","135589888","114831360"
"Monitoring","2025/07/18 0:29:48","51177176","1240","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","51873496","1240","136","32","134959104","115507200"
"Monitoring","2025/07/18 0:29:48","52561624","1240","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","53257944","1240","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","49852744","1241","136","32","135589888","114831360"
"Monitoring","2025/07/18 0:29:48","50549064","1241","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","51245384","1241","136","32","134959104","115507200"
"Monitoring","2025/07/18 0:29:48","51941704","1241","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:48","52638024","1241","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:49","53326152","1241","136","32","135589888","114831360"
"Monitoring","2025/07/18 0:29:49","49924032","1242","136","32","135589888","115507200"
"Monitoring","2025/07/18 0:29:49","50620352","1242","136","32","134963200","115507200"
"Monitoring","2025/07/18 0:29:49","51316672","1242","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","52012992","1242","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","52701120","1242","136","32","135593984","114831360"
"Monitoring","2025/07/18 0:29:49","53397440","1242","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","49989808","1243","136","32","134963200","115507200"
"Monitoring","2025/07/18 0:29:49","50686128","1243","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","51382448","1243","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","52078768","1243","136","32","135593984","114831360"
"Monitoring","2025/07/18 0:29:49","52775088","1243","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","53463216","1243","136","32","134963200","115507200"
"Monitoring","2025/07/18 0:29:49","50055608","1244","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","50751928","1244","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","51448248","1244","136","32","135593984","114831360"
"Monitoring","2025/07/18 0:29:49","52144568","1244","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","52840888","1244","136","32","135593984","114831360"
"Monitoring","2025/07/18 0:29:49","53537208","1244","136","32","135593984","115507200"
"Monitoring","2025/07/18 0:29:49","50121408","1245","136","32","135237632","115761152"
"Monitoring","2025/07/18 0:29:50","50817728","1245","136","32","135868416","115761152"
"Monitoring","2025/07/18 0:29:50","51514048","1245","136","32","135868416","115761152"
"Monitoring","2025/07/18 0:29:50","52210368","1245","136","32","135868416","115113984"
"Monitoring","2025/07/18 0:29:50","52906688","1245","136","32","135868416","115761152"
"Monitoring","2025/07/18 0:29:50","53603008","1245","136","32","135237632","115761152"
"Monitoring","2025/07/18 0:29:50","54299328","1245","136","32","135868416","115761152"
"Monitoring","2025/07/18 0:29:50","54991440","1245","136","32","136052736","116023296"
"Monitoring","2025/07/18 0:29:50","50177416","1246","136","32","136286208","115507200"
"Monitoring","2025/07/18 0:29:50","50873736","1246","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:50","51570056","1246","136","32","135655424","116154368"
"Monitoring","2025/07/18 0:29:50","52258184","1246","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:50","52954504","1246","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:50","53650824","1246","136","32","136286208","115507200"
"Monitoring","2025/07/18 0:29:50","50245792","1247","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:50","50942112","1247","136","32","135655424","116154368"
"Monitoring","2025/07/18 0:29:50","51638432","1247","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:50","52334752","1247","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:50","53022880","1247","136","32","136286208","115507200"
"Monitoring","2025/07/18 0:29:50","53719200","1247","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:51","50312152","1248","136","32","135655424","116154368"
"Monitoring","2025/07/18 0:29:51","51008472","1248","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:51","51704792","1248","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:51","52401112","1248","136","32","136286208","115507200"
"Monitoring","2025/07/18 0:29:51","53097432","1248","136","32","136286208","116154368"
"Monitoring","2025/07/18 0:29:51","53793752","1248","136","32","135655424","116154368"
"Monitoring","2025/07/18 0:29:51","49706912","1249","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","50403232","1249","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","51099552","1249","137","32","134504448","113700864"
"Monitoring","2025/07/18 0:29:51","51795872","1249","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","52492192","1249","137","32","133873664","114348032"
"Monitoring","2025/07/18 0:29:51","53188512","1249","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","49794448","1250","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","50490768","1250","137","32","134504448","113700864"
"Monitoring","2025/07/18 0:29:51","51187088","1250","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","51883408","1250","137","32","133873664","114348032"
"Monitoring","2025/07/18 0:29:51","52579728","1250","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","53276048","1250","137","32","134504448","114348032"
"Monitoring","2025/07/18 0:29:51","49873840","1251","137","32","134594560","113831936"
"Monitoring","2025/07/18 0:29:51","50570160","1251","137","32","134594560","114479104"
"Monitoring","2025/07/18 0:29:52","51266480","1251","137","32","133963776","114479104"
"Monitoring","2025/07/18 0:29:52","51962800","1251","137","32","134594560","114479104"
"Monitoring","2025/07/18 0:29:52","52659120","1251","137","32","134594560","114479104"
"Monitoring","2025/07/18 0:29:52","53355440","1251","137","32","134594560","113831936"
"Monitoring","2025/07/18 0:29:52","49961448","1252","137","32","134680576","114544640"
"Monitoring","2025/07/18 0:29:52","50657768","1252","137","32","134049792","114544640"
"Monitoring","2025/07/18 0:29:52","51354088","1252","137","32","134680576","114544640"
"Monitoring","2025/07/18 0:29:52","52050408","1252","137","32","134680576","114544640"
"Monitoring","2025/07/18 0:29:52","52746728","1252","137","32","134680576","113897472"
"Monitoring","2025/07/18 0:29:52","53443048","1252","137","32","134680576","114544640"
"Monitoring","2025/07/18 0:29:52","50027248","1253","137","32","134139904","114675712"
"Monitoring","2025/07/18 0:29:52","50723568","1253","137","32","134770688","114675712"
"Monitoring","2025/07/18 0:29:52","51419888","1253","137","32","134770688","114675712"
"Monitoring","2025/07/18 0:29:52","52116208","1253","137","32","134770688","114675712"
"Monitoring","2025/07/18 0:29:52","52812528","1253","137","32","134770688","114675712"
"Monitoring","2025/07/18 0:29:52","53508848","1253","137","32","134770688","114675712"
"Monitoring","2025/07/18 0:29:52","50101240","1254","137","32","134844416","114741248"
"Monitoring","2025/07/18 0:29:52","50797560","1254","137","32","134844416","114741248"
"Monitoring","2025/07/18 0:29:52","51493880","1254","137","32","134844416","114741248"
"Monitoring","2025/07/18 0:29:53","52190200","1254","137","32","134844416","114741248"
