"ライセンス種別","総ライセンス数","割当済み","利用可能","利用率","月額コスト","最終更新日","次回更新日","自動更新","コスト最適化可能"
"Office 365 E1","109","95","14","87.2","1400","2025-07-11","2026-05-15","有効","不要"
"Business Premium","174","149","25","85.6","3300","2025-07-11","2026-06-15","有効","不要"
"Business Premium","245","198","47","80.8","3300","2025-07-15","2026-05-15","有効","不要"
"Office 365 E1","150","104","46","69.3","1400","2025-07-11","2025-10-15","無効","不要"
"Microsoft 365 E5","208","165","43","79.3","6650","2025-07-10","2025-10-15","有効","不要"
"Business Standard","190","171","19","90","2200","2025-07-13","2025-10-15","無効","不要"
"Microsoft 365 E3","194","180","14","92.8","4500","2025-07-14","2026-04-15","有効","不要"
"Business Standard","175","145","30","82.9","2200","2025-07-12","2026-05-15","有効","不要"
"Business Premium","178","166","12","93.3","3300","2025-07-14","2026-05-15","無効","可能"
"Microsoft 365 E5","205","163","42","79.5","6650","2025-07-12","2025-12-15","無効","不要"
"Microsoft 365 E3","88","64","24","72.7","4500","2025-07-10","2026-02-15","無効","可能"
"Office 365 E1","188","175","13","93.1","1400","2025-07-13","2025-10-15","無効","不要"
"Microsoft 365 E5","216","176","40","81.5","6650","2025-07-14","2026-04-15","有効","不要"
"Business Premium","130","82","48","63.1","3300","2025-07-09","2025-10-15","有効","不要"
"Microsoft 365 E5","210","196","14","93.3","6650","2025-07-09","2026-03-15","無効","可能"
"Microsoft 365 E5","156","110","46","70.5","6650","2025-07-15","2025-08-15","有効","不要"
"Business Standard","159","121","38","76.1","2200","2025-07-11","2025-11-15","無効","不要"
"Microsoft 365 E5","201","172","29","85.6","6650","2025-07-15","2026-05-15","無効","可能"
"Microsoft 365 E3","180","147","33","81.7","4500","2025-07-14","2026-06-15","有効","不要"
"Business Premium","135","87","48","64.4","3300","2025-07-14","2026-03-15","有効","可能"
"Microsoft 365 E5","178","130","48","73","6650","2025-07-10","2026-02-15","有効","不要"
"Office 365 E1","137","103","34","75.2","1400","2025-07-13","2026-02-15","有効","可能"
"Microsoft 365 E5","192","170","22","88.5","6650","2025-07-15","2025-09-15","無効","可能"
"Microsoft 365 E5","188","178","10","94.7","6650","2025-07-14","2025-11-15","有効","不要"
"Office 365 E1","174","144","30","82.8","1400","2025-07-11","2025-09-15","無効","不要"
"Business Standard","93","50","43","53.8","2200","2025-07-14","2026-02-15","無効","不要"
"Microsoft 365 E5","182","154","28","84.6","6650","2025-07-11","2025-11-15","無効","不要"
"Microsoft 365 E5","130","118","12","90.8","6650","2025-07-13","2026-01-15","無効","不要"
"Business Premium","201","159","42","79.1","3300","2025-07-14","2025-09-15","無効","可能"
"Business Premium","175","130","45","74.3","3300","2025-07-14","2025-12-15","無効","不要"
"Office 365 E1","215","186","29","86.5","1400","2025-07-10","2025-12-15","無効","可能"
"Business Premium","122","73","49","59.8","3300","2025-07-13","2025-12-15","有効","不要"
"Business Premium","96","69","27","71.9","3300","2025-07-14","2026-01-15","無効","不要"
"Microsoft 365 E3","202","168","34","83.2","4500","2025-07-10","2025-10-15","有効","不要"
"Microsoft 365 E3","90","51","39","56.7","4500","2025-07-14","2025-12-15","無効","可能"
"Business Standard","191","166","25","86.9","2200","2025-07-09","2026-02-15","無効","不要"
"Office 365 E1","130","112","18","86.2","1400","2025-07-10","2025-08-15","有効","不要"
"Office 365 E1","190","179","11","94.2","1400","2025-07-11","2026-03-15","無効","不要"
"Microsoft 365 E5","149","119","30","79.9","6650","2025-07-13","2026-03-15","有効","不要"
"Business Premium","105","83","22","79","3300","2025-07-09","2026-01-15","有効","不要"
"Microsoft 365 E3","219","176","43","80.4","4500","2025-07-12","2026-02-15","無効","不要"
"Microsoft 365 E5","223","188","35","84.3","6650","2025-07-13","2026-02-15","有効","不要"
"Business Standard","199","170","29","85.4","2200","2025-07-15","2026-02-15","有効","不要"
"Office 365 E1","116","84","32","72.4","1400","2025-07-15","2026-04-15","無効","不要"
"Microsoft 365 E5","77","51","26","66.2","6650","2025-07-10","2026-01-15","有効","不要"
"Business Standard","94","82","12","87.2","2200","2025-07-10","2025-11-15","無効","可能"
"Microsoft 365 E3","216","194","22","89.8","4500","2025-07-11","2026-04-15","無効","不要"
"Business Premium","107","96","11","89.7","3300","2025-07-10","2025-11-15","有効","不要"
"Microsoft 365 E5","159","130","29","81.8","6650","2025-07-13","2026-04-15","有効","不要"
"Business Standard","118","75","43","63.6","2200","2025-07-09","2026-02-15","無効","可能"
"Microsoft 365 E5","105","81","24","77.1","6650","2025-07-10","2025-08-15","有効","可能"
"Office 365 E1","122","83","39","68","1400","2025-07-10","2026-06-15","無効","可能"
"Business Premium","144","125","19","86.8","3300","2025-07-15","2025-11-15","有効","不要"
"Business Standard","191","176","15","92.1","2200","2025-07-15","2026-03-15","有効","不要"
"Microsoft 365 E3","161","134","27","83.2","4500","2025-07-15","2026-01-15","無効","不要"
"Microsoft 365 E5","110","93","17","84.5","6650","2025-07-13","2026-06-15","無効","不要"
"Business Standard","123","80","43","65","2200","2025-07-11","2025-10-15","有効","可能"
"Microsoft 365 E3","206","158","48","76.7","4500","2025-07-12","2025-09-15","有効","不要"
"Business Standard","110","73","37","66.4","2200","2025-07-14","2025-10-15","無効","不要"
"Office 365 E1","146","130","16","89","1400","2025-07-09","2026-01-15","有効","不要"
"Microsoft 365 E3","101","54","47","53.5","4500","2025-07-09","2026-01-15","有効","不要"
"Microsoft 365 E3","227","184","43","81.1","4500","2025-07-15","2025-08-15","有効","可能"
"Office 365 E1","113","88","25","77.9","1400","2025-07-14","2026-06-15","有効","不要"
"Business Premium","105","71","34","67.6","3300","2025-07-10","2026-06-15","有効","不要"
"Microsoft 365 E5","195","163","32","83.6","6650","2025-07-10","2026-01-15","無効","不要"
"Microsoft 365 E5","196","172","24","87.8","6650","2025-07-15","2026-04-15","無効","不要"
"Microsoft 365 E3","194","164","30","84.5","4500","2025-07-13","2026-04-15","無効","不要"
"Microsoft 365 E3","91","67","24","73.6","4500","2025-07-12","2026-06-15","無効","不要"
"Business Standard","140","106","34","75.7","2200","2025-07-10","2025-10-15","無効","不要"
"Microsoft 365 E5","81","67","14","82.7","6650","2025-07-09","2025-10-15","無効","不要"
"Microsoft 365 E3","150","124","26","82.7","4500","2025-07-11","2026-06-15","無効","可能"
"Microsoft 365 E5","200","173","27","86.5","6650","2025-07-11","2026-02-15","無効","不要"
"Microsoft 365 E5","150","107","43","71.3","6650","2025-07-15","2026-03-15","無効","可能"
"Business Standard","159","142","17","89.3","2200","2025-07-09","2026-05-15","有効","可能"
"Office 365 E1","210","165","45","78.6","1400","2025-07-14","2026-01-15","有効","不要"
